hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
50,35,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,27550,Craft-repair
40,34,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,26000,Adm-clerical
35,43,0,0,Federal-gov,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,13650,Adm-clerical
40,22,0,1762,Private,Assoc-voc,11,Never-married,Not-in-family,White,Female,United-States,7888,Other-service
40,30,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,34050,Exec-managerial
38,44,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Male,United-States,17537,Adm-clerical
40,28,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,33350,Tech-support
40,33,0,880,Private,Assoc-acdm,12,Divorced,Not-in-family,White,Female,United-States,28260,Adm-clerical
40,27,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Male,United-States,21035,Tech-support
50,40,0,2377,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,19723,Craft-repair
50,40,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,57867,Sales
45,50,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,58579,Machine-op-inspct
50,48,0,0,Self-emp-not-inc,11th,7,Married-civ-spouse,Husband,White,Male,United-States,67000,Farming-fishing
40,25,0,0,Private,Some-college,10,Never-married,Other-relative,White,Male,United-States,18200,Craft-repair
40,40,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,47448,Handlers-cleaners
40,46,0,0,Private,Bachelors,13,Separated,Unmarried,White,Female,United-States,17002,Tech-support
40,33,0,0,Local-gov,9th,5,Married-civ-spouse,Husband,White,Male,United-States,9600,Other-service
40,32,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,77700,Exec-managerial
52,32,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,14560,Other-service
40,62,0,0,Private,7th-8th,4,Divorced,Not-in-family,White,Male,United-States,11702,Handlers-cleaners
20,27,0,0,Private,Some-college,10,Separated,Unmarried,White,Female,United-States,3080,Adm-clerical
40,33,0,0,Private,HS-grad,9,Separated,Not-in-family,White,Male,United-States,17900,Transport-moving
30,22,0,0,?,12th,8,Never-married,Not-in-family,White,Male,United-States,6778,?
37,28,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,11180,Other-service
40,28,0,0,Private,Assoc-voc,11,Never-married,Not-in-family,White,Male,United-States,18720,Machine-op-inspct
30,23,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,8996,Sales
50,48,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,38300,Prof-specialty
37,23,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,1500,Other-service
37,21,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,2700,Other-service
40,20,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,4000,Tech-support
60,53,15024,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,99999,Sales
32,24,0,1762,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,6456,Sales
40,52,0,0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,83000,Sales
45,43,0,0,Self-emp-not-inc,Bachelors,13,Divorced,Unmarried,White,Male,United-States,32200,Sales
30,28,0,0,?,Some-college,10,Divorced,Not-in-family,White,Female,United-States,8780,?
40,39,0,625,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,24575,Exec-managerial
36,37,14084,0,Private,Prof-school,15,Divorced,Not-in-family,White,Male,United-States,97084,Prof-specialty
40,48,0,0,Private,Masters,14,Divorced,Unmarried,White,Female,United-States,35131,Prof-specialty
30,20,0,0,?,Some-college,10,Never-married,Own-child,White,Female,United-States,1921,?
40,47,7688,0,Local-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,92788,Adm-clerical
70,45,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,41604,Sales
35,20,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,8000,Sales
12,18,0,0,Private,11th,7,Never-married,Own-child,White,Female,United-States,1100,Other-service
55,45,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,45808,Sales
20,25,0,0,Private,HS-grad,9,Separated,Unmarried,White,Female,United-States,1800,Other-service
40,22,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,11615,Sales
50,38,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,30618,Adm-clerical
20,25,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,25220,Exec-managerial
15,47,0,0,Private,1st-4th,2,Divorced,Not-in-family,White,Female,United-States,3500,Other-service
35,40,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,10000,Transport-moving
30,68,0,0,Private,12th,8,Widowed,Not-in-family,White,Female,United-States,7478,Sales
40,40,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,15610,Exec-managerial
45,24,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,19228,Tech-support
45,46,0,0,Local-gov,Bachelors,13,Divorced,Unmarried,White,Female,United-States,28465,Prof-specialty
50,52,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,90431,Exec-managerial
10,21,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,5529,Prof-specialty
99,39,15024,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,99999,Transport-moving
38,41,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,32100,Adm-clerical
10,46,0,0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,37000,Exec-managerial
15,39,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,51700,Other-service
45,48,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,33000,Sales
40,38,0,0,Private,Assoc-voc,11,Divorced,Not-in-family,White,Female,United-States,21020,Tech-support
45,38,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,46020,Prof-specialty
45,57,7688,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
45,41,0,0,Private,Prof-school,15,Divorced,Unmarried,White,Female,United-States,49850,Prof-specialty
35,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,4807,Adm-clerical
20,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,2021,Adm-clerical
40,27,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,42791,Prof-specialty
40,40,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,24000,Craft-repair
20,24,0,0,?,Some-college,10,Never-married,Not-in-family,White,Female,United-States,2000,?
17,24,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,5010,Adm-clerical
20,22,0,1602,?,Some-college,10,Never-married,Not-in-family,White,Female,United-States,398,?
80,35,0,0,Self-emp-not-inc,HS-grad,9,Divorced,Not-in-family,White,Male,Puerto-Rico,48000,Farming-fishing
55,51,4064,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,43399,Other-service
70,42,0,0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,47481,Exec-managerial
55,45,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,45150,Prof-specialty
43,25,0,0,Private,Assoc-acdm,12,Never-married,Own-child,White,Male,United-States,17863,Other-service
50,44,0,0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,15029,Farming-fishing
40,42,0,0,Private,12th,8,Never-married,Own-child,White,Male,United-States,8320,Farming-fishing
65,50,0,1579,Private,7th-8th,4,Married-civ-spouse,Husband,White,Male,Canada,29621,Transport-moving
45,28,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,20297,Machine-op-inspct
60,51,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,88000,Sales
24,18,0,0,Private,10th,6,Never-married,Own-child,White,Male,United-States,4500,Other-service
40,24,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,24024,Handlers-cleaners
39,36,7298,0,State-gov,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,81222,Exec-managerial
50,34,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,14964,Farming-fishing
4,64,0,0,?,HS-grad,9,Widowed,Not-in-family,White,Female,United-States,6125,?
40,19,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,7760,Machine-op-inspct
40,40,0,1672,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,38878,Craft-repair
45,29,0,0,Private,Assoc-acdm,12,Never-married,Unmarried,White,Male,United-States,30000,Machine-op-inspct
24,43,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,10500,Machine-op-inspct
45,68,0,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,8780,?
37,45,0,0,Federal-gov,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,39011,Adm-clerical
40,59,0,0,?,10th,6,Divorced,Not-in-family,White,Female,England,7052,?
40,44,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,19560,Craft-repair
40,37,0,0,?,9th,5,Divorced,Unmarried,White,Female,United-States,7342,?
50,44,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,16696,Exec-managerial
20,34,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,3800,Other-service
50,35,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,65846,Exec-managerial
40,30,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,22012,Other-service
55,39,7688,0,Private,Assoc-voc,11,Married-civ-spouse,Wife,White,Female,United-States,86262,Exec-managerial
35,47,0,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,60590,Priv-house-serv
49,48,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,35000,Prof-specialty
40,46,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,65361,Craft-repair
40,22,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,2400,Sales
40,19,1055,0,Private,12th,8,Separated,Own-child,White,Female,United-States,4055,Prof-specialty
40,21,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,13000,Machine-op-inspct
60,30,0,0,Self-emp-not-inc,Some-college,10,Never-married,Not-in-family,White,Female,United-States,29022,Adm-clerical
40,30,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,40200,Tech-support
40,44,0,0,Local-gov,Masters,14,Married-civ-spouse,Wife,White,Female,United-States,76071,Prof-specialty
30,51,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,18000,Sales
48,33,4386,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,50554,Craft-repair
48,42,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,40788,Prof-specialty
18,17,0,0,Private,11th,7,Never-married,Own-child,White,Female,United-States,3740,Sales
40,40,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,England,35025,Craft-repair
40,29,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,25003,Sales
40,26,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,31423,Prof-specialty
40,35,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,27922,Craft-repair
35,43,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,35236,Craft-repair
28,23,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,11105,Sales
45,39,0,1721,Private,Assoc-voc,11,Divorced,Not-in-family,White,Male,United-States,2189,Craft-repair
40,29,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,66000,Sales
42,24,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,4900,Craft-repair
50,44,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,31398,Exec-managerial
30,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,7236,Other-service
40,39,15024,0,Private,Masters,14,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,United-States,99999,Exec-managerial
40,34,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,40948,Protective-serv
40,43,7688,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Sales
40,34,0,0,Self-emp-not-inc,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,15000,Farming-fishing
60,49,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,29176,Sales
55,39,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,47862,Exec-managerial
22,18,0,0,Private,12th,8,Never-married,Own-child,White,Male,United-States,2225,Handlers-cleaners
50,45,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,28063,Machine-op-inspct
40,38,0,0,?,7th-8th,4,Divorced,Not-in-family,White,Female,United-States,8000,?
40,30,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,39050,Sales
56,32,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,14661,Other-service
40,45,0,0,?,10th,6,Divorced,Unmarried,White,Female,United-States,4780,?
40,25,0,0,Private,11th,7,Divorced,Own-child,White,Female,United-States,4981,Sales
30,22,0,0,?,9th,5,Never-married,Not-in-family,White,Male,United-States,6778,?
50,54,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,18524,Other-service
60,48,0,0,State-gov,Masters,14,Separated,Not-in-family,White,Male,United-States,4500,Prof-specialty
20,19,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,4000,Other-service
25,21,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,Germany,4576,Other-service
45,37,0,0,Local-gov,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,39000,Exec-managerial
40,59,0,0,Private,HS-grad,9,Separated,Unmarried,White,Female,United-States,21416,Adm-clerical
40,40,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30925,Machine-op-inspct
60,30,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,Outlying-US(Guam-USVI-etc),11062,Prof-specialty
50,40,0,0,Self-emp-not-inc,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,30000,Prof-specialty
40,51,0,0,State-gov,7th-8th,4,Married-civ-spouse,Husband,White,Male,United-States,31980,Transport-moving
50,47,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,42107,Sales
20,21,0,0,State-gov,Some-college,10,Never-married,Own-child,White,Female,United-States,2661,Adm-clerical
60,38,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,59324,Protective-serv
40,45,0,0,Federal-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,52571,Prof-specialty
25,19,0,0,?,HS-grad,9,Never-married,Own-child,White,Female,United-States,2641,?
40,46,0,0,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,65800,Adm-clerical
35,21,0,0,?,Some-college,10,Never-married,Own-child,White,Male,United-States,2200,?
30,18,0,0,?,Some-college,10,Never-married,Own-child,White,Male,United-States,1700,?
40,43,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,21323,Craft-repair
40,41,0,0,State-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,61002,Prof-specialty
45,42,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,25000,Adm-clerical
60,33,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19030,Transport-moving
70,29,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,28000,Transport-moving
44,54,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,39302,Craft-repair
20,21,2176,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,7283,Adm-clerical
42,21,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,11894,Craft-repair
40,53,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,39200,Transport-moving
60,46,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,90600,Tech-support
40,30,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,20000,Craft-repair
52,31,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,46413,Craft-repair
50,28,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,25000,Handlers-cleaners
30,18,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,9006,Other-service
40,44,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19560,Transport-moving
25,37,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,Canada,9351,Sales
40,39,0,0,Private,HS-grad,9,Never-married,Unmarried,White,Male,United-States,9600,Farming-fishing
60,47,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,85000,Sales
60,51,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,United-States,20530,Exec-managerial
40,34,0,1672,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,42052,Craft-repair
40,18,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,8300,Craft-repair
25,18,0,0,Private,11th,7,Never-married,Not-in-family,White,Male,United-States,2760,Handlers-cleaners
40,27,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,10785,Machine-op-inspct
70,27,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,21573,Craft-repair
40,22,0,0,Private,HS-grad,9,Never-married,Unmarried,White,Male,United-States,20000,Handlers-cleaners
20,21,0,0,?,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,1115,?
40,40,0,0,Federal-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,45201,Protective-serv
40,37,0,0,Self-emp-inc,12th,8,Married-civ-spouse,Husband,White,Male,United-States,30780,Craft-repair
68,37,0,0,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,38554,Sales
45,40,0,0,Private,HS-grad,9,Separated,Unmarried,White,Female,United-States,23702,Adm-clerical
10,18,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,1164,Tech-support
8,34,0,0,?,HS-grad,9,Separated,Own-child,White,Female,United-States,900,?
40,33,0,0,Federal-gov,HS-grad,9,Divorced,Unmarried,White,Female,United-States,23025,Adm-clerical
40,61,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,6500,Other-service
40,51,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,23668,Prof-specialty
55,37,0,0,Local-gov,Bachelors,13,Divorced,Unmarried,White,Female,United-States,33031,Prof-specialty
60,57,0,0,Self-emp-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,67300,Tech-support
43,39,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,86812,Prof-specialty
40,57,0,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,27922,Exec-managerial
45,28,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,44176,Craft-repair
40,46,0,0,State-gov,Bachelors,13,Never-married,Unmarried,White,Female,United-States,30000,Exec-managerial
40,26,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Wife,White,Female,United-States,41800,Adm-clerical
40,43,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,25000,Adm-clerical
40,24,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Male,United-States,17008,Handlers-cleaners
25,20,0,0,Self-emp-not-inc,Some-college,10,Never-married,Not-in-family,White,Female,United-States,5615,Sales
5,78,0,0,Local-gov,HS-grad,9,Widowed,Unmarried,White,Female,United-States,1237,Adm-clerical
20,21,0,0,Private,HS-grad,9,Never-married,Other-relative,White,Female,United-States,1080,Other-service
40,33,0,0,Local-gov,Masters,14,Never-married,Not-in-family,White,Female,United-States,30201,Prof-specialty
40,19,3781,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,22387,Sales
40,20,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,13000,Machine-op-inspct
35,20,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,8000,Sales
40,36,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30720,Exec-managerial
20,18,0,0,Private,12th,8,Never-married,Own-child,White,Female,United-States,1500,Other-service
24,43,0,0,Private,Bachelors,13,Divorced,Unmarried,White,Female,Outlying-US(Guam-USVI-etc),10197,Prof-specialty
40,38,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,69050,Prof-specialty
45,50,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,55640,Tech-support
70,70,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,89432,Sales
40,35,0,0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,14532,Prof-specialty
50,58,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,12503,Sales
40,57,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,18192,Adm-clerical
45,59,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,72459,Prof-specialty
14,45,0,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,22854,Prof-specialty
50,34,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,45000,Craft-repair
50,38,0,0,Self-emp-inc,Doctorate,16,Married-civ-spouse,Husband,White,Male,United-States,75916,Prof-specialty
45,49,0,0,Private,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,34940,Prof-specialty
2,87,0,0,?,HS-grad,9,Widowed,Not-in-family,White,Male,United-States,3289,?
40,44,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,64532,Exec-managerial
18,20,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,7016,Sales
55,50,3103,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,56835,Transport-moving
16,23,0,0,Private,Some-college,10,Married-civ-spouse,Own-child,White,Female,United-States,38816,Sales
44,50,0,1902,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,74598,Machine-op-inspct
45,42,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,39540,Transport-moving
40,40,0,0,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,29010,Sales
40,51,0,0,Federal-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,75198,Exec-managerial
50,57,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,39200,Transport-moving
40,29,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,12000,Handlers-cleaners
60,50,0,0,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,31580,Exec-managerial
40,40,0,0,Federal-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,59000,Tech-support
40,52,0,1762,Private,HS-grad,9,Widowed,Unmarried,White,Female,United-States,7918,Sales
35,23,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,12000,Sales
40,46,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,67400,Prof-specialty
56,43,0,0,Local-gov,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,36096,Protective-serv
40,22,0,0,Private,HS-grad,9,Never-married,Unmarried,White,Male,United-States,12000,Adm-clerical
64,21,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,5902,Other-service
40,42,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,39875,Handlers-cleaners
40,53,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,48300,Tech-support
40,26,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,8000,Transport-moving
40,27,4386,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,52416,Sales
75,25,0,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,38140,Exec-managerial
40,47,5178,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,62473,Machine-op-inspct
50,31,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,48450,Craft-repair
50,29,0,0,Private,HS-grad,9,Separated,Not-in-family,White,Male,United-States,35000,Sales
40,21,0,0,?,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,3300,?
